Latitude,Longitude,CustType
-6.828387,39.2562304,corporate
-6.7231168,39.2299377,personal
-6.8107874,39.2596277,personal
-6.6384932,39.1916619,personal
-6.369028,34.888822,personal
-6.813256735,39.2887938,corporate
-6.7414821,39.0881198,personal
-6.801252,39.2501783,personal
-6.7414821,39.0881198,personal
-6.369028,34.888822,corporate
-6.803807369,39.16629732,personal
-6.631617,39.188174,personal
-6.8207991,39.2632744,personal
-6.8107874,39.2596277,personal
-6.6173653,39.1235548,personal
-6.678067,39.1597998,personal
-6.924469482,39.13123747,personal
-6.8197286,39.2729993,personal
-6.7405999,39.1489979,personal
-6.669381578,39.17820096,personal
-6.8197286,39.2729993,personal
-6.7720975,39.2587771,personal
-6.8107874,39.2596277,personal
-6.78223932,39.22984958,corporate
-6.7992488,39.2683642,personal
-6.784377761,39.0501428,personal
-6.70764298,39.19563449,personal
-6.826166804,39.27562752,personal
-6.7037533,39.207965,personal
-6.785738,39.2046387,personal
-6.777829952,39.24539528,personal
-4.646645482,31.81278742,personal
-6.7829438,39.2245606,personal
-6.646320948,39.09416199,personal
-6.8047973,39.2811646,personal
-6.777215404,39.26850796,personal
-6.6614771,39.2003461,personal
-6.673056855,39.20777911,personal
-6.7402867,39.2286798,personal
-6.7414821,39.0881198,personal
-6.7414821,39.0881198,personal
-6.6285356,39.1631081,personal
-6.788879177,39.22723304,personal
-6.751832287,39.14013657,personal
-6.7213205,39.142563,personal
-6.7575038,39.1951781,personal
-6.7473712,39.2816971,corporate
-6.8107874,39.2596277,personal
-6.8107874,39.2596277,personal
-6.7574419,39.2379365,personal
-6.8107874,39.2596277,personal
-6.7231168,39.2299377,personal
-6.7925196,39.2086751,corporate
-6.741005154,39.08832762,personal
-6.369028,34.888822,personal
-6.369028,34.888822,personal
-6.8207991,39.2632744,personal
-6.7950545,39.1031401,personal
-6.8139798,39.2395925,personal
-6.7405999,39.1489979,personal
-6.8107874,39.2596277,personal
-6.767846846,39.25824959,personal
-6.8038095,39.166302,personal
-6.8107874,39.2596277,personal
-6.7925196,39.2086751,personal
-6.7405999,39.1489979,personal
-6.8107874,39.2596277,personal
-6.608305957,39.13041819,personal
-6.8197286,39.2729993,personal
-6.7941129,39.1811039,personal
-6.503417246,35.16897337,personal
-6.7575038,39.1951781,personal
-6.761527209,39.26384728,personal
-6.7060638,39.2182261,personal
-6.8078384,39.2603339,personal
-6.7955972,39.2461184,personal
